row_id,query_uid,hinglish_query,devanagari_transliteration,normalized_query,category,search_intent,search_volume_monthly,keyword_difficulty,cpc_inr,competition_score,serp_feature,avg_position,impressions_monthly,clicks_pct,platform_source,target_region,primary_device,language_mix_type,has_slang,has_roman_hindi,base_query_en,year_tagged,is_question_query,word_count
1,9483C888,ranbir kapoor new movie trailer dekhna chahiye,ranbir kapoor न्यू movie trailer dekhna chahiye,ranbir kapoor new movie trailer dekhna chahiye,Entertainment & Bollywood,Transactional,27315,58,1.42,0.37,None,11.5,148087,0.69,YouTube,North India,Mobile,English-dominant Hinglish,True,True,ranbir kapoor new movie trailer,2025,False,7
2,1BC19A65,kya new bollywood movie 2024 sahi hai,क्या न्यू bollywood movie 2024 sahi है,kya new bollywood movie 2024 sahi hai,Entertainment & Bollywood,Transactional,19541,12,3.21,0.33,People Also Ask,20.8,33259,0.84,Zepto,Pan India,Tablet,Hindi-dominant Hinglish,False,True,new bollywood movie 2024,2025,True,7
3,F6895CD0,imdb top hindi movies 2024,imdb top hindi movies 2024,imdb top hindi movies 2024,Entertainment & Bollywood,Informational,72969,96,2.5,0.16,People Also Ask,10.7,214884,0.73,YouTube,South India,Mobile,Hinglish,False,False,imdb top hindi movies,2025,False,5
4,C51DCAE3,netflix ekdum mast naya show,netflix ekdum mast naya show,netflix ekdum mast naya show,Entertainment & Bollywood,Informational,48890,88,2.85,0.28,Image Pack,5.5,330517,0.66,Amazon India,North India,Mobile,Hinglish,True,False,netflix pe naya show,2025,False,5
5,4B835627,latest web series hindi hindi mein,latest web series hindi hindi में,latest web fromries hindi hindi me,Entertainment & Bollywood,Informational,16159,6,4.24,0.44,Video Carousel,45.5,61414,0.53,Nykaa,Gujarat,Desktop,Hinglish,False,True,latest web series hindi,2025,False,6
6,0EE24EE4,imdb top hindi movies,imdb top hindi movies,imdb top hindi movies,Entertainment & Bollywood,Informational,36781,58,3.98,0.89,Image Pack,19.8,76143,0.56,JioSaavn,Delhi NCR,Desktop,Hindi-dominant Hinglish,False,False,imdb top hindi movies,2025,False,4
7,2C763518,ott pe kaunsi movie dekhein tadka,ott पे kaunsi movie dekhein tadka,ott par kaunsi movie dekhein tadka,Entertainment & Bollywood,Navigational,26243,83,3.99,0.42,Knowledge Panel,45.7,122040,0.6,Zepto,Pan India,Desktop,English-dominant Hinglish,True,True,ott pe kaunsi movie dekhein,,False,6
8,B355846F,kya imdb top hindi movies sahi hai,क्या imdb top hindi movies sahi है,kya imdb top hindi movies sahi hai,Entertainment & Bollywood,Informational,42253,50,1.25,0.83,Local Pack,29.6,161546,0.56,JioSaavn,Pan India,Desktop,Hinglish,False,True,imdb top hindi movies,2024,True,7
9,31D7CF08,pathan movie review hindi mein 2024,pathan movie review hindi में 2024,pathan movie review hindi me 2024,Entertainment & Bollywood,Navigational,21022,13,1.15,0.86,Local Pack,42.1,80014,0.74,Zepto,Pan India,Mobile,English-dominant Hinglish,False,True,pathan movie review hindi mein,2024,False,6
10,3D9391CF,kya hai iss paisa vasool ka naam,क्या है iss paisa vasool का naam,kya hai iss paisa vasool ka naam,Entertainment & Bollywood,Transactional,23181,31,2.69,0.23,Image Pack,40.7,160842,0.82,Google India,West Bengal,Tablet,English-dominant Hinglish,True,True,kya hai iss gaane ka naam,2025,True,7
11,2A721D3D,shah rukh khan ki film hindi mein,shah rukh khan की film hindi में,shah rukh khan ki film hindi me,Entertainment & Bollywood,Informational,71157,40,0.83,0.12,Featured Snippet,31.1,260169,0.56,Google India,Maharashtra,Tablet,Hinglish,False,True,shah rukh khan ki film,2024,False,7
12,8AC86ACF,new bollywood movie 2024,न्यू bollywood movie 2024,new bollywood movie 2024,Entertainment & Bollywood,Transactional,44763,92,0.84,0.93,Featured Snippet,43.2,313436,0.73,Google India,South India,Tablet,English-dominant Hinglish,False,False,new bollywood movie 2024,2024,False,4
13,17B0CAAE,kya hai iss gaane ka naam ekdum mast,क्या है iss gaane का naam ekdum mast,kya hai iss gaane ka naam ekdum mast,Entertainment & Bollywood,Commercial Investigation,49067,91,4.24,0.22,Image Pack,39.8,376172,0.39,YouTube,West Bengal,Desktop,Hindi-dominant Hinglish,True,True,kya hai iss gaane ka naam,2025,True,8
14,CFC31D05,kya gaana download kaise karein sahi hai,क्या gaana download कैसे करें sahi है,kya gaana download kaifrom karo sahi hai,Entertainment & Bollywood,Transactional,85189,41,0.83,0.72,Video Carousel,47.5,531357,0.37,Flipkart Search,Gujarat,Desktop,English-dominant Hinglish,False,True,gaana download kaise karein,,True,7
15,0BB8949A,best hindi movies 2023 list 2024,बेस्ट hindi movies 2023 list 2024,best hindi movies 2023 list 2024,Entertainment & Bollywood,Informational,51427,99,4.35,0.61,Video Carousel,37.5,124154,0.82,Meesho,UP & Bihar,Mobile,English-dominant Hinglish,False,False,best hindi movies 2023 list,2024,False,6
16,7EB1849B,south ki dubbed movie dekhna chahiye,south की dubbed movie dekhna chahiye,south ki dubbed movie dekhna chahiye,Entertainment & Bollywood,Informational,45557,41,0.8,0.29,None,39.6,172120,0.68,Meesho,Tamil Nadu,Mobile,Hindi-dominant Hinglish,True,True,south ki dubbed movie hindi,,False,6
17,C66B61F4,bollywood actor ki salary kitni hai hindi mein,bollywood actor की salary kitni है hindi में,bollywood actor ki salary kitni hai hindi me,Entertainment & Bollywood,Commercial Investigation,267,7,1.77,0.59,Video Carousel,43.3,1232,0.36,Nykaa,Tamil Nadu,Desktop,Hindi-dominant Hinglish,False,True,bollywood actor ki salary kitni hai,,False,8
18,1E08C701,yrf movies ott release date,yrf movies ott release date,yrf movies ott releafrom date,Entertainment & Bollywood,Informational,29667,21,2.06,0.17,Local Pack,36.9,116902,0.39,Google India,West Bengal,Desktop,Hinglish,False,True,yrf movies ott release date,,False,5
19,B0C1269A,ranbir kapoor new movie trailer tadka,ranbir kapoor न्यू movie trailer tadka,ranbir kapoor new movie trailer tadka,Entertainment & Bollywood,Commercial Investigation,12303,44,2.69,0.65,Knowledge Panel,17.2,22737,0.54,Google India,Gujarat,Tablet,Hinglish,True,True,ranbir kapoor new movie trailer,2024,False,6
20,D806BCEE,kya pathan movie review hindi mein sahi hai,क्या pathan movie review hindi में sahi है,kya pathan movie review hindi me sahi hai,Entertainment & Bollywood,Transactional,53745,90,2.52,0.14,Knowledge Panel,8.5,374014,0.61,Amazon India,Delhi NCR,Mobile,Hinglish,False,True,pathan movie review hindi mein,2025,True,8
21,DAA74EBB,jiosamn pe free songs 2024,jiosamn पे फ्री songs 2024,jiosamn par free songs 2024,Entertainment & Bollywood,Commercial Investigation,600,55,0.44,0.67,Video Carousel,6.7,2746,0.84,YouTube,Pan India,Mobile,Hinglish,False,True,jiosamn pe free songs,2025,False,5
22,696178AB,gaana download bindaas karein,gaana download bindaas करें,gaana download bindaas karo,Entertainment & Bollywood,Transactional,61827,63,4.03,0.9,Featured Snippet,13.9,271886,0.5,Zepto,Gujarat,Mobile,Hindi-dominant Hinglish,True,True,gaana download kaise karein,2025,False,4
23,A97BB469,new bollywood movie 2024 hindi mein,न्यू bollywood movie 2024 hindi में,new bollywood movie 2024 hindi me,Entertainment & Bollywood,Informational,34624,29,3.78,0.83,Video Carousel,12.1,222181,0.53,YouTube,North India,Tablet,Hindi-dominant Hinglish,False,True,new bollywood movie 2024,2024,False,6
24,0B226CEB,spotify pe free music kaise sunein,spotify पे फ्री music कैसे sunein,spotify par free music kaifrom sunein,Entertainment & Bollywood,Commercial Investigation,50838,67,1.91,0.46,Image Pack,29.0,87732,0.77,JioSaavn,Tamil Nadu,Desktop,Hinglish,False,True,spotify pe free music kaise sunein,,False,6
25,1BD65C41,desi tadka comedy show tadka,desi tadka comedy show tadka,desi tadka comedy show tadka,Entertainment & Bollywood,Navigational,75005,87,4.42,0.83,Featured Snippet,49.4,318916,0.37,Swiggy,South India,Mobile,Hinglish,True,True,desi tadka comedy show,2025,False,5
26,A858A456,kya jiosamn pe free songs sahi hai,क्या jiosamn पे फ्री songs sahi है,kya jiosamn par free songs sahi hai,Entertainment & Bollywood,Transactional,26565,81,0.71,0.46,Local Pack,23.4,87539,0.48,YouTube,North India,Desktop,English-dominant Hinglish,False,True,jiosamn pe free songs,2024,True,7
27,A948264D,deepika padukone ki height 2024,deepika padukone की height 2024,deepika padukone ki height 2024,Entertainment & Bollywood,Commercial Investigation,81765,76,2.38,0.63,Featured Snippet,46.3,622045,0.72,Nykaa,South India,Mobile,English-dominant Hinglish,False,True,deepika padukone ki height,,False,5
28,3A3D39CD,spotify pe free music kaise sunein hindi mein,spotify पे फ्री music कैसे sunein hindi में,spotify par free music kaifrom sunein hindi me,Entertainment & Bollywood,Transactional,13337,37,3.91,0.61,People Also Ask,20.7,34933,0.56,Amazon India,Gujarat,Tablet,Hindi-dominant Hinglish,False,True,spotify pe free music kaise sunein,,False,8
29,E9472089,deepika padukone ki height,deepika padukone की height,deepika padukone ki height,Entertainment & Bollywood,Informational,79877,88,3.14,0.53,People Also Ask,17.6,313186,0.45,Meesho,Maharashtra,Mobile,English-dominant Hinglish,False,True,deepika padukone ki height,2025,False,4
30,E74CFF5C,ott pe kaunsi movie dekhein dekhna chahiye,ott पे kaunsi movie dekhein dekhna chahiye,ott par kaunsi movie dekhein dekhna chahiye,Entertainment & Bollywood,Informational,40856,36,3.8,0.5,None,21.4,132832,0.75,JioSaavn,South India,Desktop,English-dominant Hinglish,True,True,ott pe kaunsi movie dekhein,,False,7
31,4F9960BE,kya bollywood gossip aaj ka sahi hai,क्या bollywood gossip aaj का sahi है,kya bollywood gossip aaj ka sahi hai,Entertainment & Bollywood,Commercial Investigation,11803,25,2.02,0.56,Knowledge Panel,25.8,41573,0.39,Swiggy,Rajasthan,Desktop,Hinglish,False,True,bollywood gossip aaj ka,2024,True,7
32,65360890,ott pe kaunsi movie dekhein 2024,ott पे kaunsi movie dekhein 2024,ott par kaunsi movie dekhein 2024,Entertainment & Bollywood,Navigational,68819,73,0.18,0.51,None,14.4,418427,0.8,JioSaavn,Pan India,Mobile,Hinglish,False,True,ott pe kaunsi movie dekhein,2025,False,6
33,F3CEC869,kya SRK dhamaka naya movie aaya,क्या SRK dhamaka naya movie aaya,kya SRK dhamaka naya movie aaya,Entertainment & Bollywood,Informational,66307,51,2.88,0.63,Knowledge Panel,29.8,474633,0.4,Google India,Maharashtra,Desktop,Hindi-dominant Hinglish,True,True,kya SRK ka naya movie aaya,2025,True,6
34,492C54F8,south ki dubbed movie hindi hindi mein,south की dubbed movie hindi hindi में,south ki dubbed movie hindi hindi me,Entertainment & Bollywood,Transactional,45221,21,3.78,0.14,Knowledge Panel,11.5,297052,0.77,YouTube,Delhi NCR,Mobile,Hindi-dominant Hinglish,False,True,south ki dubbed movie hindi,2024,False,7
